,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
26,Lucien Agoume,MF,Spezia,it Serie A,8.9,0,2.0,0.0,89.7,0.1,39.0,4.0,36.0,6.0,11.0,18.0,20.0,34.0,569.0,1.0,4.0,17.0,4.0,1.0,10.0,53.0
27,Felix Agu,DF,Werder Bremen,de Bundesliga,7.8,1,4.0,0.6,72.7,0.4,9.0,4.0,10.0,6.0,16.0,16.0,21.0,48.0,422.0,8.0,4.0,15.0,5.0,0.0,12.0,25.0
28,Kevin Agudelo,FW,Spezia,it Serie A,15.1,1,19.0,1.9,72.5,0.7,18.0,12.0,30.0,35.0,30.0,30.0,5.0,55.0,564.0,59.0,40.0,76.0,33.0,18.0,20.0,106.0
29,Nayef Aguerd,DF,Rennes,fr Ligue 1,35.0,3,29.0,2.9,91.4,0.9,137.0,0.0,136.0,14.0,37.0,43.0,39.0,94.0,3020.0,37.0,8.0,120.0,11.0,0.0,128.0,256.0
30,Sergio Aguero,"FW,MF",Manchester City,eng Premier League,6.2,4,17.0,1.8,84.1,1.3,11.0,6.0,12.0,16.0,0.0,5.0,4.0,7.0,246.0,50.0,8.0,24.0,7.0,2.0,2.0,36.0
31,Ruben Aguilar,"DF,FW",Monaco,fr Ligue 1,24.7,1,8.0,1.2,82.4,4.6,77.0,37.0,94.0,72.0,48.0,38.0,37.0,121.0,1909.0,64.0,22.0,168.0,54.0,5.0,50.0,262.0
32,Naouirou Ahamada,MF,Stuttgart,de Bundesliga,2.8,0,5.0,0.3,90.0,0.0,12.0,0.0,7.0,2.0,1.0,5.0,4.0,6.0,160.0,4.0,9.0,16.0,4.0,1.0,1.0,23.0
33,Matteo Ahlinvi,MF,Nimes,fr Ligue 1,10.0,2,11.0,1.6,79.2,0.3,16.0,2.0,16.0,10.0,19.0,13.0,4.0,34.0,464.0,14.0,18.0,44.0,11.0,2.0,5.0,60.0
34,Cheikh Ahmadou Dieng,FW,Marseille,fr Ligue 1,1.4,0,1.0,0.2,75.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,28.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0
35,Jean-Eudes Aholou,MF,Strasbourg,fr Ligue 1,23.8,2,31.0,2.0,84.1,1.2,67.0,7.0,55.0,25.0,35.0,26.0,54.0,109.0,1104.0,26.0,23.0,64.0,28.0,2.0,43.0,119.0
36,Jean-Eudes Aholou,MF,Monaco,fr Ligue 1,0.4,0,2.0,0.1,80.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,17.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0
37,Joseph Aidoo,DF,Celta Vigo,es La Liga,14.3,0,9.0,0.8,82.6,0.6,36.0,2.0,39.0,10.0,17.0,20.0,16.0,44.0,815.0,11.0,5.0,33.0,3.0,1.0,49.0,72.0
38,Ola Aina,DF,Fulham,eng Premier League,29.6,2,14.0,1.0,77.7,1.4,98.0,15.0,98.0,26.0,25.0,47.0,52.0,99.0,2031.0,21.0,21.0,114.0,35.0,5.0,33.0,212.0
39,Rayan Ait Nouri,DF,Wolves,eng Premier League,15.6,1,16.0,0.6,83.7,1.0,30.0,14.0,46.0,30.0,16.0,27.0,15.0,46.0,986.0,29.0,37.0,98.0,31.0,14.0,14.0,144.0
40,Rayan Ait Nouri,DF,Angers,fr Ligue 1,2.1,0,1.0,0.1,91.3,0.4,1.0,4.0,12.0,8.0,2.0,4.0,1.0,4.0,173.0,5.0,8.0,19.0,6.0,1.0,2.0,31.0
41,Semi Ajayi,DF,West Brom,eng Premier League,30.9,2,13.0,1.3,74.4,0.3,67.0,4.0,64.0,14.0,42.0,62.0,41.0,99.0,1280.0,36.0,12.0,29.0,10.0,0.0,85.0,93.0
42,Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,33.0,16,67.0,12.7,71.1,3.7,48.0,22.0,60.0,68.0,16.0,17.0,12.0,45.0,1266.0,170.0,14.0,71.0,21.0,17.0,168.0,131.0
43,Manuel Akanji,DF,Dortmund,de Bundesliga,26.1,2,19.0,1.8,92.9,0.1,150.0,4.0,128.0,15.0,30.0,38.0,38.0,84.0,2349.0,32.0,13.0,165.0,19.0,3.0,52.0,293.0
44,Carlos Akapo,DF,Cadiz,es La Liga,9.6,1,2.0,0.4,66.8,0.3,10.0,5.0,13.0,5.0,13.0,30.0,13.0,41.0,462.0,3.0,10.0,28.0,7.0,1.0,17.0,41.0
45,Marley Ake,FW,Marseille,fr Ligue 1,1.6,0,4.0,1.1,80.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,65.0,8.0,4.0,6.0,0.0,2.0,4.0,8.0
46,Nathan Ake,DF,Manchester City,eng Premier League,8.9,1,3.0,0.1,93.0,0.0,60.0,2.0,36.0,3.0,6.0,6.0,6.0,21.0,821.0,5.0,0.0,70.0,27.0,0.0,30.0,106.0
47,Paul Akouokou,MF,Betis,es La Liga,4.2,0,0.0,0.0,91.8,0.4,14.0,1.0,6.0,5.0,8.0,6.0,6.0,18.0,216.0,0.0,3.0,10.0,1.0,0.0,8.0,16.0
48,Jean-Daniel Akpa-Akpro,MF,Lazio,it Serie A,11.7,0,12.0,0.9,81.4,0.9,17.0,8.0,28.0,19.0,28.0,32.0,19.0,65.0,518.0,24.0,20.0,28.0,10.0,3.0,9.0,56.0
49,Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,13.2,1,2.0,0.1,82.2,0.4,33.0,2.0,46.0,5.0,12.0,39.0,10.0,34.0,869.0,9.0,7.0,40.0,8.0,2.0,23.0,86.0
50,David Alaba,"DF,MF",Bayern Munich,de Bundesliga,29.7,2,21.0,1.3,85.1,2.3,232.0,37.0,189.0,49.0,30.0,47.0,36.0,77.0,2516.0,29.0,14.0,198.0,35.0,6.0,24.0,387.0
51,Sofiane Alakouch,DF,Nimes,fr Ligue 1,16.7,0,5.0,0.2,79.6,1.2,62.0,11.0,65.0,16.0,32.0,35.0,34.0,96.0,1142.0,14.0,22.0,67.0,21.0,4.0,10.0,132.0
52,Jony Alamo,MF,Elche,es La Liga,0.8,0,1.0,0.0,87.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53,Lucas Alario,FW,Leverkusen,de Bundesliga,13.8,11,37.0,5.0,76.1,0.7,12.0,4.0,10.0,27.0,6.0,9.0,3.0,11.0,469.0,79.0,20.0,13.0,6.0,4.0,34.0,23.0
54,Jordi Alba,DF,Barcelona,es La Liga,33.6,3,27.0,2.4,85.5,7.4,125.0,82.0,210.0,86.0,24.0,64.0,43.0,92.0,3210.0,123.0,17.0,169.0,45.0,16.0,7.0,379.0
55,Luis Alberto,MF,Lazio,it Serie A,29.1,9,69.0,5.3,78.3,8.2,261.0,89.0,289.0,144.0,32.0,38.0,21.0,64.0,2262.0,67.0,50.0,324.0,141.0,17.0,9.0,613.0
56,Raul Albiol,DF,Villarreal,es La Liga,34.6,0,8.0,0.6,89.4,1.0,98.0,5.0,111.0,14.0,21.0,47.0,23.0,52.0,2296.0,12.0,5.0,128.0,16.0,0.0,65.0,239.0
57,Marc Albrighton,"DF,FW",Leicester City,eng Premier League,19.4,1,21.0,1.3,68.8,4.4,51.0,42.0,87.0,71.0,31.0,32.0,28.0,71.0,1145.0,44.0,30.0,88.0,24.0,8.0,15.0,175.0
58,Paco Alcacer,FW,Villarreal,es La Liga,17.2,6,36.0,6.7,73.5,3.2,5.0,7.0,9.0,28.0,4.0,11.0,7.0,12.0,397.0,81.0,7.0,25.0,6.0,9.0,9.0,34.0
59,Pedro Alcala,DF,Cadiz,es La Liga,10.1,0,2.0,0.1,75.6,0.0,14.0,0.0,11.0,0.0,7.0,27.0,22.0,30.0,389.0,3.0,0.0,7.0,0.0,0.0,19.0,18.0
60,Thiago Alcantara,MF,Liverpool,eng Premier League,20.6,1,22.0,1.4,89.5,2.3,207.0,27.0,184.0,61.0,43.0,28.0,42.0,110.0,1902.0,18.0,28.0,154.0,58.0,4.0,34.0,338.0
61,Ruben Alcaraz,MF,Valladolid,es La Liga,24.1,1,27.0,1.7,83.1,0.6,95.0,13.0,71.0,22.0,37.0,47.0,29.0,84.0,1397.0,25.0,13.0,69.0,22.0,1.0,55.0,140.0
62,Omar Alderete,DF,Hertha BSC,de Bundesliga,14.4,0,7.0,0.5,81.7,0.1,44.0,4.0,62.0,6.0,13.0,23.0,14.0,35.0,1055.0,9.0,17.0,33.0,5.0,0.0,35.0,95.0
63,Toby Alderweireld,DF,Tottenham,eng Premier League,24.9,1,11.0,0.8,83.7,0.3,76.0,6.0,52.0,19.0,18.0,53.0,15.0,52.0,1638.0,14.0,3.0,49.0,5.0,0.0,54.0,101.0
64,Ivan Alejo,"MF,FW",Cadiz,es La Liga,9.2,1,13.0,1.0,56.3,0.8,9.0,11.0,20.0,20.0,15.0,23.0,2.0,22.0,367.0,28.0,15.0,61.0,20.0,7.0,16.0,81.0
65,Carles Alena,MF,Barcelona,es La Liga,0.5,0,1.0,0.0,90.5,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,0.0,0.0,2.0,7.0
