,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
365,Jimmy Briand,FW,Bordeaux,fr Ligue 1,6.3,1,12.0,0.9,74.1,0.1,5.0,0.0,4.0,4.0,5.0,3.0,1.0,9.0,249.0,19.0,2.0,10.0,2.0,1.0,21.0,14.0
366,Yan Brice Eteki,MF,Granada,es La Liga,14.7,0,7.0,0.3,77.9,0.0,25.0,2.0,24.0,4.0,20.0,21.0,15.0,42.0,480.0,3.0,5.0,9.0,2.0,0.0,24.0,33.0
367,Nathan Broadhead,MF,Everton,eng Premier League,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
368,Dylan Bronn,DF,Metz,fr Ligue 1,37.9,2,13.0,0.6,84.4,0.4,113.0,8.0,87.0,24.0,46.0,45.0,38.0,113.0,2108.0,16.0,15.0,105.0,20.0,0.0,52.0,192.0
369,John Brooks,DF,Wolfsburg,de Bundesliga,30.8,2,18.0,1.6,84.8,0.5,114.0,6.0,123.0,22.0,37.0,63.0,51.0,110.0,2249.0,26.0,7.0,105.0,14.0,1.0,108.0,228.0
370,Daniel Brosinski,DF,Mainz 05,de Bundesliga,15.9,2,7.0,0.3,63.4,2.3,44.0,21.0,70.0,39.0,7.0,34.0,13.0,32.0,976.0,8.0,9.0,53.0,19.0,2.0,10.0,123.0
371,Josh Brownhill,MF,Burnley,eng Premier League,31.3,0,36.0,1.9,79.0,1.1,66.0,17.0,66.0,46.0,28.0,59.0,53.0,104.0,1502.0,65.0,14.0,64.0,22.0,7.0,71.0,130.0
372,Marcelo Brozovic,MF,Inter,it Serie A,28.7,2,27.0,1.8,88.0,4.3,235.0,43.0,204.0,86.0,36.0,48.0,39.0,91.0,2518.0,12.0,11.0,151.0,44.0,2.0,29.0,355.0
373,Gaston Brugman,MF,Parma,it Serie A,18.0,1,18.0,1.2,83.2,2.4,79.0,11.0,100.0,50.0,25.0,38.0,37.0,79.0,1276.0,7.0,16.0,72.0,18.0,2.0,8.0,172.0
374,Juan Brunet,MF,Granada,es La Liga,0.3,0,0.0,0.0,87.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
375,Juan Brunetta,"FW,MF",Parma,it Serie A,5.3,1,10.0,1.3,80.4,0.7,14.0,2.0,11.0,15.0,1.0,4.0,1.0,4.0,263.0,17.0,17.0,32.0,10.0,2.0,2.0,43.0
376,Cedric Brunner,DF,Arminia,de Bundesliga,29.5,0,6.0,0.4,71.4,1.1,79.0,29.0,93.0,25.0,29.0,66.0,29.0,80.0,1741.0,14.0,32.0,66.0,21.0,3.0,61.0,159.0
377,Jacob Bruun Larsen,FW,Hoffenheim,de Bundesliga,1.0,0,0.0,0.0,78.9,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0
378,Bryan,FW,Sevilla,es La Liga,0.1,0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
379,Bryan,"MF,FW",Eibar,es La Liga,25.2,4,40.0,3.6,68.2,5.2,45.0,53.0,88.0,97.0,17.0,32.0,15.0,51.0,1367.0,104.0,71.0,210.0,59.0,35.0,13.0,298.0
380,Joe Bryan,"DF,FW",Fulham,eng Premier League,7.4,1,8.0,0.4,70.2,0.4,23.0,5.0,27.0,19.0,12.0,21.0,13.0,32.0,506.0,10.0,10.0,46.0,16.0,0.0,6.0,73.0
381,Kean Bryan,DF,Sheffield Utd,eng Premier League,11.2,1,2.0,0.4,72.9,0.4,27.0,3.0,22.0,5.0,15.0,26.0,28.0,52.0,591.0,7.0,3.0,11.0,8.0,0.0,31.0,33.0
382,Lucas Buades,MF,Nimes,fr Ligue 1,0.2,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,Ante Budimir,FW,Osasuna,es La Liga,18.1,11,47.0,7.1,62.8,0.6,20.0,5.0,22.0,24.0,15.0,14.0,1.0,21.0,637.0,101.0,11.0,38.0,10.0,13.0,123.0,60.0
384,Gianluigi Buffon,GK,Juventus,it Serie A,8.0,0,0.0,0.0,84.9,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Marius Bulter,"FW,MF",Union Berlin,de Bundesliga,10.9,1,19.0,2.0,62.0,1.2,12.0,13.0,15.0,23.0,9.0,18.0,7.0,24.0,463.0,21.0,13.0,46.0,21.0,7.0,15.0,61.0
386,Alessandro Buongiorno,DF,Torino,it Serie A,9.5,0,3.0,0.2,85.1,0.0,31.0,1.0,21.0,2.0,6.0,21.0,19.0,27.0,531.0,7.0,2.0,27.0,4.0,0.0,24.0,48.0
387,Esteban Burgos,DF,Eibar,es La Liga,12.3,3,3.0,1.1,76.2,0.1,23.0,0.0,27.0,7.0,8.0,15.0,12.0,21.0,676.0,12.0,1.0,18.0,2.0,1.0,38.0,45.0
388,Burgui,MF,Alaves,es La Liga,0.2,0,0.0,0.0,88.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,12.0,1.0,0.0,3.0,2.0,1.0,1.0,4.0
389,Jonathan Burkardt,"FW,DF",Mainz 05,de Bundesliga,15.3,2,32.0,4.5,70.8,1.5,22.0,7.0,33.0,29.0,15.0,24.0,5.0,35.0,647.0,76.0,23.0,59.0,20.0,17.0,21.0,92.0
390,Nishan Burkart,MF,Freiburg,de Bundesliga,0.2,0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
391,Oliver Burke,FW,Sheffield Utd,eng Premier League,14.1,1,25.0,2.4,70.6,1.8,5.0,8.0,11.0,28.0,10.0,21.0,2.0,20.0,432.0,67.0,18.0,42.0,6.0,20.0,27.0,53.0
392,Roman Burki,GK,Dortmund,de Bundesliga,18.5,0,0.0,0.0,81.9,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
393,Dan Burn,DF,Brighton,eng Premier League,22.9,1,16.0,1.5,76.7,1.0,73.0,15.0,77.0,20.0,22.0,39.0,37.0,84.0,1516.0,43.0,17.0,78.0,25.0,2.0,99.0,155.0
394,Patrick Burner,DF,Nice,fr Ligue 1,0.0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Patrick Burner,DF,Nimes,fr Ligue 1,14.6,0,6.0,0.4,77.8,0.3,29.0,4.0,45.0,19.0,13.0,26.0,21.0,43.0,822.0,8.0,11.0,43.0,12.0,4.0,12.0,88.0
396,Maxime Busi,DF,Parma,it Serie A,13.3,0,8.0,0.5,83.3,1.4,53.0,16.0,72.0,18.0,12.0,30.0,18.0,46.0,940.0,15.0,11.0,72.0,16.0,3.0,14.0,144.0
397,Sergio Busquets,MF,Barcelona,es La Liga,28.3,0,3.0,0.2,91.5,3.6,293.0,33.0,218.0,68.0,40.0,43.0,39.0,109.0,2943.0,14.0,13.0,144.0,46.0,2.0,42.0,362.0
398,Jack Butland,GK,Crystal Palace,eng Premier League,1.0,0,0.0,0.0,28.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,David Button,GK,West Brom,eng Premier League,1.0,0,0.0,0.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Oskar Buur,DF,Wolves,eng Premier League,0.2,0,0.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
401,Marcin Buka,GK,Paris S-G,fr Ligue 1,1.0,0,0.0,0.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Erick Cabaco,DF,Getafe,es La Liga,14.7,0,4.0,0.2,67.5,0.0,38.0,0.0,34.0,6.0,17.0,17.0,12.0,36.0,604.0,9.0,3.0,15.0,5.0,0.0,52.0,49.0
403,Willy Caballero,GK,Chelsea,eng Premier League,1.0,0,0.0,0.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,Jimmy Cabot,"FW,MF",Angers,fr Ligue 1,10.5,1,10.0,1.2,74.5,1.3,20.0,10.0,28.0,21.0,16.0,15.0,13.0,39.0,583.0,28.0,38.0,63.0,22.0,6.0,1.0,91.0
405,Martin Caceres,DF,Fiorentina,it Serie A,24.9,2,15.0,1.3,79.5,1.1,73.0,14.0,87.0,22.0,13.0,28.0,17.0,46.0,1227.0,25.0,2.0,79.0,26.0,0.0,21.0,166.0
406,Anthony Caci,DF,Strasbourg,fr Ligue 1,31.1,0,8.0,0.3,78.0,1.7,122.0,34.0,159.0,37.0,60.0,71.0,57.0,154.0,2200.0,15.0,28.0,113.0,40.0,2.0,35.0,272.0
407,Mathieu Cafaro,"MF,FW",Reims,fr Ligue 1,23.0,4,61.0,3.4,62.3,2.0,35.0,21.0,63.0,41.0,20.0,16.0,19.0,59.0,1092.0,49.0,22.0,122.0,41.0,12.0,7.0,185.0
408,Gary Cahill,DF,Crystal Palace,eng Premier League,20.0,1,11.0,0.7,84.6,0.7,34.0,1.0,34.0,12.0,7.0,45.0,19.0,32.0,914.0,26.0,1.0,24.0,1.0,0.0,80.0,58.0
409,Yannick Cahuzac,MF,Lens,fr Ligue 1,25.0,1,8.0,1.6,84.3,0.6,57.0,16.0,67.0,28.0,20.0,31.0,30.0,66.0,1090.0,21.0,7.0,80.0,17.0,1.0,36.0,147.0
410,Felipe Caicedo,FW,Lazio,it Serie A,10.3,8,30.0,4.6,74.9,0.7,21.0,4.0,19.0,25.0,8.0,10.0,2.0,15.0,383.0,58.0,13.0,20.0,6.0,6.0,31.0,39.0
411,Marc-Aurele Caillard,GK,Metz,fr Ligue 1,4.0,0,0.0,0.0,64.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Tom Cairney,MF,Fulham,eng Premier League,8.4,1,12.0,0.7,88.7,1.4,61.0,10.0,32.0,35.0,4.0,6.0,1.0,6.0,689.0,13.0,12.0,58.0,23.0,1.0,2.0,90.0
413,Cala,DF,Cadiz,es La Liga,25.2,3,14.0,1.4,73.8,0.3,36.0,2.0,24.0,10.0,23.0,33.0,23.0,56.0,960.0,20.0,5.0,18.0,4.0,0.0,59.0,42.0
414,Arturo Calabresi,"DF,FW",Bologna,it Serie A,0.2,0,0.0,0.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Arturo Calabresi,DF,Cagliari,it Serie A,0.2,0,0.0,0.0,77.8,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0
416,Davide Calabria,DF,Milan,it Serie A,29.4,2,24.0,1.2,78.2,1.8,152.0,37.0,176.0,47.0,50.0,65.0,27.0,120.0,2118.0,37.0,17.0,152.0,48.0,5.0,21.0,328.0
417,Riccardo Calafiori,DF,Roma,it Serie A,0.7,0,0.0,0.0,77.8,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,56.0,1.0,0.0,5.0,1.0,0.0,3.0,5.0
418,Mattia Caldara,DF,Atalanta,it Serie A,1.2,0,2.0,0.3,92.6,0.0,5.0,0.0,1.0,0.0,2.0,5.0,3.0,5.0,71.0,3.0,0.0,4.0,1.0,0.0,5.0,5.0
419,Luca Caldirola,DF,Benevento,it Serie A,17.5,2,8.0,1.0,84.7,0.2,40.0,5.0,40.0,5.0,12.0,29.0,17.0,35.0,923.0,13.0,0.0,50.0,10.0,0.0,22.0,90.0
420,Duje Caleta-Car,DF,Marseille,fr Ligue 1,31.3,2,10.0,1.0,86.9,1.0,93.0,4.0,82.0,11.0,17.0,40.0,35.0,70.0,2180.0,18.0,3.0,68.0,7.0,0.0,87.0,150.0
421,Hakan Calhanoglu,"MF,FW",Milan,it Serie A,29.0,4,84.0,4.8,77.4,8.8,117.0,60.0,168.0,174.0,13.0,41.0,27.0,48.0,1987.0,85.0,35.0,217.0,71.0,25.0,12.0,385.0
422,Kerim Calhanoglu,DF,Schalke 04,de Bundesliga,3.3,0,1.0,0.1,64.2,0.0,2.0,0.0,8.0,0.0,2.0,7.0,6.0,11.0,174.0,5.0,3.0,11.0,1.0,1.0,2.0,19.0
423,Fabrizio Caligara,MF,Cagliari,it Serie A,2.0,0,0.0,0.0,77.9,0.1,2.0,1.0,3.0,2.0,3.0,8.0,3.0,7.0,98.0,1.0,1.0,4.0,2.0,0.0,3.0,7.0
424,Daniel Caligiuri,"MF,FW",Augsburg,de Bundesliga,29.6,6,38.0,2.6,69.0,3.7,61.0,33.0,94.0,87.0,47.0,71.0,42.0,123.0,1641.0,47.0,63.0,133.0,56.0,10.0,36.0,227.0
425,Jose Callejon,"FW,MF",Fiorentina,it Serie A,7.4,0,9.0,0.3,74.3,1.3,15.0,10.0,19.0,12.0,2.0,4.0,7.0,13.0,337.0,17.0,5.0,31.0,12.0,1.0,7.0,50.0
426,Jonathan Calleri,FW,Osasuna,es La Liga,17.2,5,49.0,5.9,61.4,1.3,18.0,8.0,26.0,24.0,6.0,19.0,5.0,20.0,594.0,93.0,21.0,49.0,11.0,10.0,86.0,75.0
427,Dominic Calvert-Lewin,FW,Everton,eng Premier League,31.9,16,81.0,15.3,71.6,2.0,27.0,11.0,36.0,50.0,12.0,31.0,5.0,22.0,1067.0,156.0,20.0,63.0,22.0,19.0,143.0,99.0
428,Dani Calvo,DF,Elche,es La Liga,19.8,2,7.0,0.9,86.1,0.0,25.0,0.0,26.0,0.0,13.0,28.0,19.0,40.0,930.0,10.0,2.0,25.0,1.0,0.0,47.0,51.0
429,Drissa Camara,MF,Parma,it Serie A,0.2,0,0.0,0.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
430,Mahdi Camara,"MF,DF",Saint-Etienne,fr Ligue 1,36.6,3,22.0,3.5,86.3,1.7,113.0,27.0,104.0,61.0,71.0,68.0,57.0,166.0,2087.0,35.0,33.0,162.0,42.0,4.0,48.0,266.0
431,Eduardo Camavinga,MF,Rennes,fr Ligue 1,26.7,1,26.0,1.9,89.3,1.3,156.0,15.0,99.0,44.0,70.0,38.0,20.0,131.0,1968.0,36.0,49.0,176.0,64.0,8.0,28.0,275.0
432,Jose Campana,MF,Levante,es La Liga,8.3,1,12.0,0.7,76.8,1.4,44.0,22.0,64.0,22.0,8.0,10.0,8.0,20.0,618.0,17.0,24.0,62.0,30.0,0.0,6.0,126.0
433,Emre Can,"DF,MF",Dortmund,de Bundesliga,23.7,1,17.0,0.8,87.3,2.4,130.0,19.0,120.0,34.0,42.0,41.0,40.0,95.0,2055.0,29.0,37.0,145.0,45.0,3.0,51.0,265.0
434,Sergio Canales,"MF,FW",Betis,es La Liga,27.8,8,45.0,2.9,84.7,5.1,111.0,46.0,115.0,107.0,11.0,26.0,14.0,31.0,1958.0,74.0,36.0,221.0,90.0,11.0,12.0,336.0
435,Joao Cancelo,DF,Manchester City,eng Premier League,25.5,2,35.0,2.0,85.7,4.9,135.0,69.0,166.0,71.0,44.0,38.0,52.0,129.0,2402.0,80.0,50.0,218.0,73.0,22.0,35.0,384.0
436,Antonio Candreva,MF,Sampdoria,it Serie A,27.8,5,57.0,3.3,67.5,5.8,117.0,65.0,186.0,105.0,14.0,39.0,25.0,50.0,1902.0,66.0,31.0,228.0,85.0,15.0,2.0,414.0
437,Alex Cantero,FW,Levante,es La Liga,2.6,0,3.0,,,,,,,,1.0,,0.0,,,,,,,,,
438,Ander Capa,DF,Athletic Club,es La Liga,23.7,2,12.0,1.1,76.2,1.6,58.0,19.0,94.0,36.0,23.0,51.0,30.0,72.0,1447.0,33.0,27.0,150.0,51.0,7.0,23.0,244.0
439,Pierrick Capelle,"MF,DF",Angers,fr Ligue 1,22.8,3,29.0,3.6,82.1,1.3,55.0,10.0,77.0,52.0,32.0,32.0,39.0,96.0,1471.0,36.0,26.0,89.0,35.0,1.0,40.0,166.0
440,Etienne Capoue,MF,Villarreal,es La Liga,13.2,1,8.0,0.5,90.9,0.1,70.0,5.0,52.0,9.0,14.0,16.0,21.0,41.0,879.0,3.0,11.0,44.0,7.0,0.0,29.0,96.0
441,Elio Capradossi,DF,Spezia,it Serie A,1.0,0,1.0,0.1,82.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,7.0,58.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
442,Gianluca Caprari,"MF,FW",Benevento,it Serie A,20.7,5,47.0,3.4,72.0,3.2,37.0,23.0,54.0,75.0,16.0,26.0,30.0,50.0,1008.0,85.0,46.0,112.0,31.0,18.0,4.0,166.0
443,Francesco Caputo,FW,Sassuolo,it Serie A,18.9,11,40.0,7.1,77.7,1.7,11.0,7.0,19.0,42.0,1.0,9.0,4.0,5.0,567.0,123.0,5.0,30.0,7.0,13.0,15.0,49.0
444,Maxence Caqueret,MF,Lyon,fr Ligue 1,19.6,0,9.0,0.7,86.6,1.9,107.0,32.0,148.0,47.0,59.0,43.0,30.0,113.0,1331.0,31.0,35.0,94.0,25.0,4.0,15.0,242.0
445,Andrea Carboni,DF,Cagliari,it Serie A,12.1,0,5.0,0.2,78.6,0.7,43.0,4.0,39.0,7.0,10.0,27.0,12.0,41.0,728.0,11.0,5.0,54.0,14.0,1.0,19.0,93.0
446,Isaac Carcelen,DF,Cadiz,es La Liga,28.7,0,11.0,0.4,71.2,1.0,78.0,11.0,75.0,32.0,44.0,82.0,50.0,121.0,1440.0,12.0,33.0,64.0,19.0,4.0,33.0,139.0
447,Cardenas,GK,Levante,es La Liga,8.0,0,0.0,0.0,74.6,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
448,Irvin Cardona,"FW,MF",Brest,fr Ligue 1,22.5,7,56.0,7.6,68.8,1.9,21.0,16.0,31.0,46.0,4.0,18.0,9.0,18.0,747.0,124.0,11.0,71.0,13.0,19.0,24.0,102.0
449,Marc Cardona,"FW,MF",Osasuna,es La Liga,0.6,0,1.0,0.2,60.7,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,32.0,3.0,1.0,1.0,0.0,1.0,0.0,5.0
450,Ian Carlo Poveda,"MF,DF",Leeds United,eng Premier League,3.9,0,5.0,0.4,73.5,0.8,7.0,9.0,18.0,9.0,7.0,4.0,2.0,11.0,182.0,22.0,13.0,33.0,6.0,7.0,0.0,51.0
451,Diego Carlos,DF,Sevilla,es La Liga,31.0,1,15.0,1.0,90.8,0.6,65.0,1.0,50.0,15.0,20.0,47.0,26.0,54.0,2174.0,23.0,10.0,32.0,3.0,0.0,62.0,82.0
452,Juan Carlos,"MF,FW",Huesca,es La Liga,3.2,0,4.0,0.5,75.3,0.3,4.0,2.0,13.0,10.0,3.0,7.0,3.0,8.0,156.0,15.0,5.0,22.0,13.0,3.0,5.0,35.0
453,Lionel Carole,DF,Strasbourg,fr Ligue 1,14.9,0,3.0,0.1,77.4,1.2,56.0,12.0,66.0,21.0,26.0,19.0,32.0,74.0,1067.0,9.0,5.0,67.0,22.0,2.0,28.0,133.0
454,Yannick Carrasco,"DF,MF",Atletico Madrid,es La Liga,24.2,6,43.0,6.0,74.3,5.6,34.0,42.0,92.0,88.0,23.0,45.0,28.0,63.0,1383.0,137.0,62.0,247.0,59.0,50.0,4.0,339.0
455,Sergio Carreira,DF,Celta Vigo,es La Liga,2.9,1,2.0,0.4,77.1,0.0,3.0,2.0,10.0,0.0,2.0,7.0,1.0,6.0,144.0,3.0,1.0,11.0,6.0,0.0,1.0,21.0
456,Guido Carrillo,FW,Elche,es La Liga,11.1,3,26.0,2.7,71.3,1.3,25.0,3.0,26.0,17.0,9.0,6.0,7.0,18.0,433.0,43.0,5.0,17.0,12.0,0.0,78.0,43.0
457,Andy Carroll,FW,Newcastle Utd,eng Premier League,4.4,1,14.0,1.2,63.1,0.1,10.0,3.0,12.0,9.0,1.0,2.0,1.0,3.0,199.0,25.0,2.0,3.0,1.0,1.0,47.0,15.0
458,Scott Carson,GK,Manchester City,eng Premier League,1.0,0,0.0,0.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Dani Carvajal,DF,Real Madrid,es La Liga,10.6,0,10.0,0.6,85.2,0.8,29.0,18.0,52.0,18.0,21.0,31.0,16.0,48.0,940.0,22.0,10.0,60.0,24.0,5.0,11.0,112.0
460,Fabio Carvalho,"MF,FW",Fulham,eng Premier League,2.8,1,9.0,1.1,77.9,0.4,3.0,2.0,5.0,5.0,5.0,6.0,4.0,12.0,137.0,18.0,6.0,15.0,1.0,4.0,1.0,20.0
461,William Carvalho,MF,Betis,es La Liga,13.6,2,15.0,1.3,85.3,0.5,85.0,11.0,70.0,20.0,19.0,13.0,8.0,36.0,1080.0,14.0,16.0,65.0,13.0,0.0,35.0,135.0
462,Casemiro,MF,Real Madrid,es La Liga,32.2,6,45.0,4.7,83.7,3.6,150.0,24.0,111.0,53.0,56.0,69.0,61.0,150.0,2370.0,55.0,16.0,97.0,30.0,4.0,103.0,208.0
463,Matty Cash,DF,Aston Villa,eng Premier League,26.4,0,9.0,0.3,73.9,2.2,78.0,24.0,64.0,33.0,44.0,77.0,49.0,127.0,1623.0,29.0,10.0,87.0,37.0,7.0,40.0,151.0
464,Kiko Casilla,GK,Leeds United,eng Premier League,3.0,0,0.0,0.0,87.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Giuseppe Caso,MF,Genoa,it Serie A,0.6,0,0.0,0.0,52.9,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,29.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0
466,Moreto Cassama,MF,Reims,fr Ligue 1,22.6,1,11.0,0.3,87.3,0.8,103.0,5.0,99.0,34.0,37.0,27.0,40.0,90.0,1590.0,3.0,22.0,73.0,17.0,0.0,5.0,172.0
467,Francesco Cassata,DF,Genoa,it Serie A,2.3,0,1.0,0.1,74.2,0.1,4.0,1.0,10.0,3.0,6.0,1.0,4.0,12.0,126.0,0.0,2.0,12.0,4.0,0.0,1.0,22.0
468,Timothy Castagne,DF,Leicester City,eng Premier League,26.1,2,8.0,1.3,83.8,2.0,87.0,21.0,99.0,41.0,34.0,53.0,23.0,82.0,1771.0,39.0,15.0,130.0,35.0,1.0,40.0,229.0
469,Koen Casteels,GK,Wolfsburg,de Bundesliga,32.0,0,0.0,0.0,75.2,0.0,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1313.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
470,Jean-Charles Castelletto,DF,Nantes,fr Ligue 1,21.6,1,8.0,1.7,84.3,0.1,40.0,1.0,46.0,7.0,14.0,36.0,29.0,63.0,999.0,13.0,5.0,31.0,3.0,0.0,56.0,77.0
471,Samu Castillejo,FW,Milan,it Serie A,13.1,1,25.0,2.0,78.8,0.7,23.0,16.0,37.0,27.0,17.0,18.0,13.0,41.0,631.0,46.0,24.0,75.0,26.0,13.0,10.0,112.0
472,Gonzalo Castro,"MF,FW",Stuttgart,de Bundesliga,19.2,4,31.0,3.3,74.6,3.0,61.0,31.0,90.0,77.0,11.0,26.0,10.0,24.0,1088.0,47.0,27.0,114.0,43.0,8.0,13.0,204.0
473,Jonny Castro,DF,Wolves,eng Premier League,5.5,0,1.0,0.1,78.7,0.1,8.0,1.0,11.0,6.0,6.0,10.0,7.0,16.0,298.0,6.0,4.0,27.0,9.0,2.0,8.0,38.0
474,Gaetano Castrovilli,MF,Fiorentina,it Serie A,25.9,5,33.0,3.5,77.3,2.5,49.0,35.0,79.0,52.0,29.0,37.0,31.0,75.0,1134.0,65.0,29.0,146.0,58.0,14.0,16.0,225.0
475,Danilo Cataldi,MF,Lazio,it Serie A,6.3,0,6.0,0.4,82.4,0.2,35.0,8.0,40.0,13.0,7.0,6.0,9.0,18.0,470.0,7.0,8.0,33.0,9.0,1.0,2.0,73.0
476,Ivan Cavaleiro,"FW,MF",Fulham,eng Premier League,27.5,3,46.0,4.7,71.9,3.4,19.0,30.0,50.0,72.0,21.0,38.0,18.0,46.0,1200.0,92.0,52.0,135.0,38.0,23.0,46.0,185.0
477,Edinson Cavani,FW,Manchester Utd,eng Premier League,15.3,10,35.0,7.4,78.7,2.7,16.0,13.0,18.0,34.0,11.0,6.0,10.0,25.0,478.0,81.0,6.0,12.0,3.0,1.0,9.0,30.0
478,Dani Ceballos,MF,Arsenal,eng Premier League,17.9,0,12.0,0.7,86.5,2.9,131.0,22.0,107.0,55.0,33.0,29.0,24.0,64.0,1462.0,29.0,26.0,165.0,48.0,2.0,7.0,272.0
479,Federico Ceccherini,DF,Hellas Verona,it Serie A,19.3,0,11.0,0.9,81.8,0.2,72.0,6.0,63.0,13.0,14.0,23.0,33.0,58.0,1116.0,29.0,11.0,67.0,22.0,1.0,77.0,130.0
480,Federico Ceccherini,DF,Fiorentina,it Serie A,3.0,0,0.0,0.0,87.4,0.0,4.0,0.0,5.0,0.0,2.0,8.0,3.0,8.0,147.0,1.0,0.0,4.0,0.0,0.0,5.0,9.0
481,Zeki Celik,DF,Lille,fr Ligue 1,26.5,3,16.0,0.8,78.9,2.6,104.0,24.0,121.0,44.0,37.0,63.0,33.0,113.0,1972.0,47.0,28.0,167.0,36.0,12.0,36.0,288.0
482,Bersant Celina,"MF,FW",Dijon,fr Ligue 1,25.5,0,24.0,1.5,77.3,4.5,89.0,38.0,96.0,67.0,11.0,26.0,15.0,42.0,1305.0,32.0,37.0,119.0,45.0,5.0,4.0,215.0
483,Fabien Centonze,DF,Metz,fr Ligue 1,35.8,1,25.0,1.2,78.1,1.5,75.0,26.0,113.0,49.0,55.0,86.0,66.0,174.0,2385.0,34.0,71.0,246.0,77.0,8.0,58.0,359.0
484,Luca Ceppitelli,DF,Cagliari,it Serie A,16.3,0,7.0,0.4,84.4,0.0,50.0,6.0,44.0,8.0,17.0,29.0,23.0,50.0,976.0,13.0,2.0,39.0,6.0,0.0,53.0,83.0
485,Alberto Cerri,FW,Cagliari,it Serie A,4.1,1,16.0,2.5,66.9,0.8,6.0,5.0,13.0,22.0,5.0,7.0,3.0,10.0,231.0,40.0,8.0,14.0,4.0,3.0,34.0,27.0
486,Sava Cestic,DF,Koln,de Bundesliga,10.0,0,1.0,0.1,75.8,0.1,16.0,1.0,24.0,4.0,14.0,20.0,29.0,50.0,533.0,2.0,5.0,11.0,1.0,0.0,19.0,35.0
