Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
670,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23-258,1997,4.5,4,0.88,4,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0,Matches
671,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,21-241,1999,10.2,35,3.45,19,2,4,2,8,0,8,0.79,4,1,2,0,1,0,0,Matches
672,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32-293,1988,5.2,10,1.93,6,3,0,1,0,0,2,0.39,1,0,0,1,0,0,0,Matches
673,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31-039,1990,8.4,29,3.44,24,3,0,1,1,0,5,0.59,3,1,0,1,0,0,0,Matches
674,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,27-076,1994,21.0,10,0.48,9,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
675,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,18-036,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
676,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,eng Premier League,27-255,1993,19.8,44,2.22,30,11,0,2,1,0,10,0.51,6,2,0,2,0,0,0,Matches
677,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29-267,1991,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
678,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,28-051,1993,10.7,12,1.13,10,1,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
679,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22-283,1998,3.3,10,3.04,5,2,2,0,0,1,3,0.91,2,0,0,0,0,1,0,Matches
680,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,23-142,1997,20.7,75,3.62,37,30,2,4,2,0,7,0.34,4,1,0,2,0,0,0,Matches
681,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,30-043,1991,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
682,Eren Dinkçi\Eren-Dinkci,de GER,FWDF,Werder Bremen,de Bundesliga,19-109,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
683,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,19-357,2001,10.7,4,0.37,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
684,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,28-102,1992,15.0,20,1.34,13,0,1,1,4,1,2,0.13,1,0,0,0,1,0,0,Matches
685,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,24-082,1997,9.3,1,0.11,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
686,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,es La Liga,35-013,1986,19.5,23,1.18,17,1,1,0,2,2,1,0.05,1,0,0,0,0,0,0,Matches
687,Sofiane Diop\Sofiane-Diop,fr FRA,MFFW,Monaco,fr Ligue 1,20-296,2000,21.7,60,2.76,46,3,2,4,1,4,6,0.28,2,0,0,1,0,3,0,Matches
688,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-136,1999,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
689,Assane Dioussé\Assane-Diousse,sn SEN,DF,Saint-Étienne,fr Ligue 1,23-193,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
690,Axel Disasi\Axel-Disasi,fr FRA,DF,Monaco,fr Ligue 1,23-021,1998,17.8,6,0.34,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
691,Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,20-357,2000,7.7,8,1.04,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
692,Djené\Djene,tg TOG,DF,Getafe,es La Liga,29-091,1991,23.4,6,0.26,4,0,0,0,2,0,2,0.09,1,0,0,0,1,0,0,Matches
693,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,eng Premier League,22-290,1998,12.3,26,2.12,13,0,9,1,3,0,4,0.33,1,0,2,0,1,0,0,Matches
694,Koffi Djidji\Koffi-Djidji,ci CIV,DF,Crotone,it Serie A,28-122,1992,7.0,5,0.72,5,0,0,0,0,0,1,0.14,1,0,0,0,0,0,0,Matches
695,Alexander Djiku\Alexander-Djiku,gh GHA,DFMF,Strasbourg,fr Ligue 1,26-235,1994,22.4,13,0.58,8,0,0,2,1,2,0,0.00,0,0,0,0,0,0,0,Matches
696,Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,28-041,1993,20.8,26,1.25,21,1,0,3,1,0,5,0.24,3,1,0,1,0,0,0,Matches
697,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-067,1992,26.7,7,0.26,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
698,Ritsu Doan\Ritsu-Doan,jp JPN,MFFW,Arminia,de Bundesliga,22-289,1998,23.1,66,2.85,28,16,15,4,2,1,4,0.17,3,0,1,0,0,0,0,Matches
699,Mihai Dobre\Mihai-Dobre,ro ROU,FWMF,Dijon,fr Ligue 1,22-214,1998,4.2,8,1.92,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
700,Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,eng Premier League,29-075,1992,12.7,21,1.65,17,1,1,0,2,0,2,0.16,2,0,0,0,0,0,0,Matches
701,Jeremy Doku\Jeremy-Doku,be BEL,MFFW,Rennes,fr Ligue 1,18-309,2002,20.1,65,3.23,49,0,4,1,8,3,7,0.35,6,0,0,0,0,1,0,Matches
702,Kasper Dolberg\Kasper-Dolberg,dk DEN,FW,Nice,fr Ligue 1,23-177,1997,13.4,18,1.34,11,0,2,1,4,0,2,0.15,1,0,1,0,0,0,0,Matches
703,Keagan Dolly\Keagan-Dolly,za RSA,MF,Montpellier,fr Ligue 1,28-069,1993,4.5,13,2.89,8,4,1,0,0,0,1,0.22,1,0,0,0,0,0,0,Matches
704,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-147,1990,23.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
705,Nicolás Domínguez\Nicolas-Dominguez,ar ARG,MF,Bologna,it Serie A,22-277,1998,12.7,39,3.08,28,1,2,2,3,3,0,0.00,0,0,0,0,0,0,0,Matches
706,John Donald\John-Donald,es ESP,DF,Elche,es La Liga,20-214,2000,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
707,Ji Dong-won\Ji-Dong-won,kr KOR,FW,Mainz 05,de Bundesliga,29-308,1991,0.7,2,2.90,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
708,Anastasios Donis\Anastasios-Donis,gr GRE,MF,Reims,fr Ligue 1,24-215,1996,1.1,1,0.93,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
709,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-035,1999,27.0,3,0.11,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
710,Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,eng Premier League,23-103,1997,15.2,7,0.46,4,1,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
711,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,de Bundesliga,31-305,1989,9.1,18,1.98,17,0,0,1,0,0,3,0.33,3,0,0,0,0,0,0,Matches
712,Lucas Douath\Lucas-Douath,fr FRA,MF,Saint-Étienne,fr Ligue 1,17-239,2003,11.6,9,0.78,6,0,1,0,1,1,0,0.00,0,0,0,0,0,0,0,Matches
713,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,eng Premier League,28-090,1993,23.7,34,1.44,32,0,1,0,0,1,5,0.21,5,0,0,0,0,0,0,Matches
714,Cheick Doucouré\Cheick-Doucoure,ml MLI,MF,Lens,fr Ligue 1,21-083,2000,22.5,50,2.22,39,0,6,3,1,1,7,0.31,7,0,0,0,0,0,0,Matches
715,Fodé Doucouré\Fode-Doucoure,ml MLI,DF,Reims,fr Ligue 1,20-057,2001,2.6,5,1.90,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
716,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,es La Liga,28-202,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
717,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,es La Liga,22-352,1998,6.1,8,1.31,6,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,Matches
718,Moussa Doumbia\Moussa-Doumbia,ml MLI,MFFW,Reims,fr Ligue 1,26-229,1994,7.1,21,2.95,16,2,1,2,0,0,2,0.28,1,1,0,0,0,0,0,Matches
719,Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,24-189,1996,22.3,22,0.99,19,1,0,0,1,1,2,0.09,1,0,0,0,1,0,0,Matches
720,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,30-026,1991,8.6,13,1.51,9,2,0,1,0,1,0,0.00,0,0,0,0,0,0,0,Matches
721,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-225,1997,27.5,2,0.07,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0,0,Matches
722,Denis Drăguș\Denis-Dragus,ro ROU,FWMF,Crotone,it Serie A,21-269,1999,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
723,Radu Drăgușin\Radu-Dragusin,ro ROU,DF,Juventus,it Serie A,19-057,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
724,Mouhamadou Drammeh\Mouhamadou-Drammeh,fr FRA,MF,Reims,fr Ligue 1,21-321,1999,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
725,Julian Draxler\Julian-Draxler,de GER,MFFW,Paris S-G,fr Ligue 1,27-193,1993,9.0,35,3.89,25,8,0,1,0,1,4,0.44,3,1,0,0,0,0,0,Matches
726,Dominick Drexler\Dominick-Drexler,de GER,MFFW,Köln,de Bundesliga,30-310,1990,10.4,23,2.21,20,0,0,1,1,1,1,0.10,0,0,0,1,0,0,0,Matches
727,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-012,1989,12.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
728,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,26-022,1995,22.4,10,0.45,8,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
729,Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,24-258,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
730,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,31-302,1989,16.1,8,0.50,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
731,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,25-165,1995,23.6,41,1.74,27,13,0,1,0,0,2,0.08,2,0,0,0,0,0,0,Matches
732,Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,26-199,1994,26.0,96,3.69,54,32,3,2,5,0,6,0.23,1,2,1,0,2,0,0,Matches
733,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,32-076,1989,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
734,Ondrej Duda\Ondrej-Duda,sk SVK,FWMF,Köln,de Bundesliga,26-117,1994,21.5,59,2.74,29,21,4,4,1,0,5,0.23,3,2,0,0,0,0,0,Matches
735,Haris Duljević\Haris-Duljevic,ba BIH,MFFW,Nîmes,fr Ligue 1,27-136,1993,8.2,23,2.80,19,0,1,2,0,1,1,0.12,1,0,0,0,0,0,0,Matches
736,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,29-187,1991,4.9,3,0.61,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
737,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Fiorentina,it Serie A,28-022,1993,1.8,4,2.22,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
738,Alfred Duncan\Alfred-Duncan,gh GHA,MF,Cagliari,it Serie A,28-022,1993,6.2,5,0.81,5,0,0,0,0,0,1,0.16,1,0,0,0,0,0,0,Matches
739,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,29-131,1991,26.0,16,0.62,13,0,0,3,0,0,0,0.00,0,0,0,0,0,0,0,Matches
740,Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,eng Premier League,23-164,1997,2.0,3,1.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
741,Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,28-324,1992,12.4,22,1.78,14,1,1,6,0,0,3,0.24,0,0,0,3,0,0,0,Matches
742,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,es La Liga,21-142,1999,0.6,1,1.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
743,Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,23-263,1997,18.4,8,0.44,7,0,1,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
744,Paulo Dybala\Paulo-Dybala,ar ARG,FW,Juventus,it Serie A,27-137,1993,7.2,35,4.88,22,7,0,3,3,0,2,0.28,2,0,0,0,0,0,0,Matches
745,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,35-015,1986,15.7,46,2.93,33,0,2,4,6,1,8,0.51,5,0,1,0,1,1,0,Matches
746,Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,fr FRA,FWMF,Dijon,fr Ligue 1,20-131,2000,20.8,49,2.36,35,1,5,4,4,0,3,0.14,2,0,0,1,0,0,0,Matches
747,Steeve-Mike Ebongue\Steeve-Mike-Ebongue,fr FRA,MF,Genoa,it Serie A,20-040,2001,0.4,2,4.50,1,0,0,0,0,1,2,4.50,1,0,0,0,0,1,0,Matches
748,Enzo Ebosse\Enzo-Ebosse,fr FRA,DF,Angers,fr Ligue 1,22-021,1999,2.9,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
749,Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,32-259,1988,30.0,6,0.20,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
750,Simone Edera\Simone-Edera,it ITA,DFMF,Torino,it Serie A,24-082,1997,0.6,2,3.46,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
751,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-227,1993,29.0,4,0.14,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,0,Matches
752,Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,eng Premier League,23-043,1998,1.3,1,0.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
753,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,28-163,1992,21.1,10,0.47,9,0,0,0,0,1,1,0.05,1,0,0,0,0,0,0,Matches
754,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22-328,1998,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
755,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,24-114,1996,25.7,42,1.63,36,1,0,1,2,2,8,0.31,8,0,0,0,0,0,0,Matches
756,Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,18-224,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
757,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25-311,1995,8.6,11,1.28,9,0,2,0,0,0,2,0.23,1,0,1,0,0,0,0,Matches
758,Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31-247,1989,22.2,22,0.99,15,0,1,1,2,3,1,0.05,1,0,0,0,0,0,0,Matches
759,Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18-285,2002,1.0,2,2.05,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
760,Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,25-115,1995,14.9,40,2.69,18,17,2,0,3,0,3,0.20,2,1,0,0,0,0,0,Matches
761,Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,21-189,1999,7.1,20,2.83,15,0,3,1,1,0,4,0.57,0,0,3,1,0,0,0,Matches
762,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,33-204,1987,6.8,14,2.06,11,1,0,1,0,1,1,0.15,0,1,0,0,0,0,0,Matches
763,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28-264,1992,12.0,13,1.09,10,0,1,1,1,0,0,0.00,0,0,0,0,0,0,0,Matches
764,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,27-004,1994,12.7,8,0.63,7,0,0,1,0,0,2,0.16,1,0,0,1,0,0,0,Matches
765,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,24-183,1996,22.2,9,0.41,7,0,0,2,0,0,3,0.14,2,0,0,1,0,0,0,Matches
766,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,27-149,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
767,Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,18-089,2003,4.4,9,2.03,5,0,0,1,3,0,1,0.23,0,0,0,1,0,0,0,Matches
768,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,24-046,1997,13.0,36,2.76,21,0,3,9,3,0,8,0.61,2,0,0,3,3,0,0,Matches
769,Emerson\Emerson,br BRA,DF,Betis,es La Liga,22-077,1999,23.2,50,2.15,43,4,1,0,1,1,4,0.17,4,0,0,0,0,0,0,Matches
770,Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,19-192,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
771,Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,29-117,1991,3.5,9,2.60,2,0,0,2,4,1,1,0.29,0,0,0,0,1,0,0,Matches
772,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,27-022,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
773,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23-304,1997,18.7,30,1.60,17,0,3,4,3,3,7,0.37,2,0,1,1,2,1,0,Matches
774,Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,23-130,1997,2.8,12,4.35,6,0,1,0,3,2,0,0.00,0,0,0,0,0,0,0,Matches
775,Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,28-051,1993,25.8,57,2.21,46,0,1,1,5,4,6,0.23,5,0,0,0,1,0,0,Matches
776,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,31-034,1990,9.8,15,1.54,12,0,0,2,1,0,0,0.00,0,0,0,0,0,0,0,Matches
777,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,29-046,1992,8.5,31,3.66,21,8,0,2,0,0,2,0.24,2,0,0,0,0,0,0,Matches
778,Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,23-067,1998,15.0,2,0.13,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
779,Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,26-070,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
780,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,28-005,1993,7.3,9,1.23,6,0,0,1,1,1,2,0.27,1,0,0,1,0,0,0,Matches
781,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,23-008,1998,6.7,18,2.69,14,0,1,0,2,1,3,0.45,2,0,1,0,0,0,0,Matches
782,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,31-211,1989,4.8,10,2.07,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
783,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,29-086,1992,22.9,17,0.74,13,3,1,0,0,0,5,0.22,4,0,1,0,0,0,0,Matches
784,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,22-089,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
785,Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,25-138,1995,15.0,36,2.39,24,8,0,4,0,0,6,0.40,2,2,0,2,0,0,0,Matches
786,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,23-070,1998,11.1,27,2.43,23,0,1,1,2,0,3,0.27,2,0,0,0,1,0,0,Matches
787,Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23-317,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
788,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,33-152,1987,9.8,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
789,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,33-088,1988,22.5,11,0.49,11,0,0,0,0,0,3,0.13,3,0,0,0,0,0,0,Matches
790,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,24-243,1996,23.3,71,3.05,42,14,6,1,5,3,4,0.17,3,0,0,1,0,0,0,Matches
791,Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,29-007,1992,6.6,13,1.97,8,2,1,2,0,0,2,0.30,1,0,0,1,0,0,0,Matches
792,Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22-276,1998,21.8,57,2.62,35,9,5,1,7,0,6,0.28,1,2,2,0,1,0,0,Matches
793,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35-348,1985,27.0,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
794,Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,27-160,1993,19.5,12,0.61,10,0,0,0,1,1,2,0.10,1,0,0,0,1,0,0,Matches
795,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30-266,1990,14.8,28,1.89,22,3,0,0,3,0,3,0.20,2,0,0,0,1,0,0,Matches
796,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,33-332,1987,7.5,39,5.18,22,14,2,0,1,0,5,0.66,5,0,0,0,0,0,0,Matches
797,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,20-076,2001,0.7,2,2.86,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
798,Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,20-076,2001,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
799,Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,22-363,1998,26.5,9,0.34,7,1,0,1,0,0,1,0.04,0,0,0,1,0,0,0,Matches
800,Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,20-048,2001,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
801,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-186,1988,13.8,4,0.29,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
802,Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22-261,1998,26.3,131,4.99,62,35,12,4,16,2,12,0.46,4,4,1,2,1,0,0,Matches
803,Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,27-232,1993,21.1,14,0.66,12,0,1,1,0,0,2,0.09,1,0,0,1,0,0,0,Matches
804,Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,31-087,1990,2.7,13,4.83,12,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
805,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,19-081,2002,1.4,1,0.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
806,Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,28-048,1993,4.1,8,1.95,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
807,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,29-158,1991,22.8,31,1.36,22,1,4,1,3,0,8,0.35,6,1,1,0,0,0,0,Matches
808,Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,25-045,1996,6.9,16,2.33,14,1,0,0,0,1,2,0.29,2,0,0,0,0,0,0,Matches
809,Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30-326,1990,12.4,36,2.91,30,0,2,3,1,0,1,0.08,0,0,0,1,0,0,0,Matches
810,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-045,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
811,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,18-152,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,0,Matches
812,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,34-077,1987,8.5,23,2.71,17,3,0,2,0,1,5,0.59,5,0,0,0,0,0,0,Matches
813,Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23-319,1997,3.6,10,2.77,7,0,1,0,1,1,1,0.28,1,0,0,0,0,0,0,Matches
