Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
226,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,de Bundesliga,24-007,1997,11.5,8,0.70,5,1,0,0,2,0,3,0.26,2,1,0,0,0,0,0,Matches
227,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,eng Premier League,24-354,1996,27.9,12,0.43,10,1,0,1,0,0,1,0.04,1,0,0,0,0,0,0,Matches
228,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,eng Premier League,23-348,1997,3.6,10,2.80,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
229,Valon Behrami\Valon-Behrami,ch SUI,MF,Genoa,it Serie A,35-347,1985,6.2,5,0.81,4,0,0,0,1,0,1,0.16,0,0,0,0,1,0,0,Matches
230,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,de Bundesliga,29-159,1991,0.9,2,2.28,0,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
231,Maximilian Beier\Maximilian-Beier,de GER,FWDF,Hoffenheim,de Bundesliga,18-166,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
232,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,de Bundesliga,29-079,1992,6.4,17,2.64,12,0,0,2,3,0,1,0.16,1,0,0,0,0,0,0,Matches
233,Haris Belkebla\Haris-Belkebla,dz ALG,MF,Brest,fr Ligue 1,27-063,1994,25.0,28,1.12,22,1,2,1,2,0,2,0.08,1,0,0,0,1,0,0,Matches
234,Stefan Bell\Stefan-Bell,de GER,DF,Mainz 05,de Bundesliga,29-220,1991,9.8,4,0.41,2,1,0,0,0,1,2,0.20,1,1,0,0,0,0,0,Matches
235,Karim Bellarabi\Karim-Bellarabi,de GER,MFFW,Leverkusen,de Bundesliga,30-358,1990,5.1,17,3.36,11,0,4,2,0,0,1,0.20,0,0,0,1,0,0,0,Matches
236,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,MFFW,Strasbourg,fr Ligue 1,22-278,1998,18.5,38,2.05,19,3,5,4,4,3,7,0.38,3,0,0,1,3,0,0,Matches
237,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,eng Premier League,26-013,1995,21.2,38,1.79,34,1,0,2,1,0,6,0.28,5,0,0,0,1,0,0,Matches
238,Jude Bellingham\Jude-Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17-276,2003,13.3,31,2.33,25,0,1,1,3,1,7,0.53,7,0,0,0,0,0,0,Matches
239,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,it Serie A,27-102,1993,23.7,83,3.50,38,0,11,9,20,5,12,0.51,5,0,1,2,4,0,0,Matches
240,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,es La Liga,22-057,1999,9.6,20,2.09,16,1,2,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
241,Sami Ben Amar\Sami-Ben-Amar,ma MAR,MF,Nîmes,fr Ligue 1,23-030,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
242,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Bordeaux,fr Ligue 1,34-025,1987,16.1,58,3.60,25,14,11,4,3,1,7,0.44,2,2,2,0,1,0,0,Matches
