,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
10,Ragnar Ache,"FW,MF",Eint Frankfurt,de Bundesliga,1.4,0,8.0,0.4,55.0,50.9,23.0,23.0,3.0,0.3,1.0,2.0,1.0,5.0,2.0,3.0,66.7,3.0,0.0,2.0,90.0,15.0,3.0,5.0,60.0,10.0,3.0,5.0,16.0,3.0,84.2,53.0,0.0,22.0,1.0,6.0,29.0,13.0,13.0,2.0,2,19.0,11.0,41.81818181818182,41.81818181818182,5.454545454545454,96.36363636363636,0.0,1.8181818181818181,10.909090909090908,52.72727272727273,23.636363636363637,23.636363636363637,3.6363636363636362,40.0,60.4,-9.5,2021
11,Marcos Acuna,DF,Sevilla,es La Liga,18.5,1,12.0,1.3,1434.0,79.3,457.0,579.0,357.0,2.7,71.0,35.0,89.0,58.0,18.0,25.0,72.0,25.0,22.0,65.0,1613.0,16.0,38.0,50.0,76.0,110.0,28.0,3.0,23.0,32.0,41.8,1180.0,41.0,123.0,75.0,97.0,820.0,236.0,378.0,181.0,22,55.0,199.0,31.86889818688982,40.37656903765691,24.89539748953975,82.28730822873082,2.8591352859135286,5.2301255230125525,6.764295676429568,57.18270571827057,16.457461645746164,26.359832635983263,12.622036262203626,8.577405857740585,76.4,2.9,2021
12,Che Adams,FW,Southampton,eng Premier League,19.3,7,42.0,5.9,392.0,67.9,201.0,104.0,39.0,2.5,14.0,11.0,27.0,45.0,2.0,11.0,18.2,22.0,9.0,23.0,641.0,88.0,10.0,27.0,37.0,38.0,17.0,10.0,46.0,92.0,33.3,380.0,0.0,115.0,8.0,10.0,252.0,79.0,61.0,1.0,9,138.0,65.0,51.275510204081634,26.53061224489796,9.948979591836734,96.93877551020408,0.0,2.0408163265306123,2.5510204081632653,64.28571428571429,20.153061224489797,15.561224489795919,0.25510204081632654,29.336734693877553,70.4,-2.5,2021
13,Tyler Adams,MF,RB Leipzig,de Bundesliga,12.2,0,2.0,0.2,760.0,86.6,356.0,282.0,84.0,0.8,63.0,8.0,46.0,20.0,7.0,26.0,26.9,26.0,20.0,43.0,884.0,12.0,5.0,11.0,45.5,66.0,15.0,3.0,16.0,10.0,61.5,729.0,17.0,121.0,5.0,3.0,594.0,72.0,94.0,14.0,6,26.0,112.0,46.8421052631579,37.10526315789474,11.052631578947368,95.92105263157895,2.236842105263158,0.6578947368421053,0.39473684210526316,78.15789473684211,9.473684210526315,12.368421052631579,1.8421052631578947,15.921052631578947,83.0,3.6,2021
14,Sargis Adamyan,"FW,MF",Hoffenheim,de Bundesliga,3.7,1,3.0,0.5,98.0,74.5,45.0,38.0,8.0,0.7,5.0,4.0,9.0,11.0,5.0,13.0,38.5,5.0,3.0,16.0,153.0,12.0,6.0,9.0,66.7,12.0,1.0,0.0,5.0,13.0,27.8,93.0,0.0,27.0,0.0,6.0,66.0,13.0,19.0,5.0,3,18.0,21.0,45.91836734693877,38.775510204081634,8.16326530612245,94.89795918367346,0.0,0.0,6.122448979591836,67.34693877551021,13.26530612244898,19.387755102040817,5.1020408163265305,27.551020408163264,72.6,1.9,2021
15,Martin Adeline,"MF,FW",Reims,fr Ligue 1,3.9,0,4.0,0.4,146.0,73.3,55.0,60.0,15.0,0.4,10.0,2.0,11.0,8.0,5.0,15.0,33.3,4.0,14.0,28.0,195.0,6.0,3.0,5.0,60.0,8.0,1.0,0.0,2.0,8.0,20.0,140.0,2.0,49.0,1.0,2.0,116.0,10.0,20.0,0.0,8,10.0,19.0,37.67123287671233,41.0958904109589,10.273972602739725,95.89041095890411,1.36986301369863,0.684931506849315,1.36986301369863,79.45205479452055,6.8493150684931505,13.698630136986301,0.0,33.56164383561644,78.4,-5.1,2021
16,Amine Adli,"FW,MF",Leverkusen,de Bundesliga,14.0,3,38.0,4.6,520.0,75.4,258.0,197.0,31.0,1.8,30.0,16.0,40.0,47.0,17.0,29.0,58.6,35.0,17.0,55.0,764.0,67.0,24.0,45.0,53.3,83.0,24.0,19.0,19.0,35.0,35.2,501.0,2.0,115.0,5.0,26.0,418.0,74.0,28.0,10.0,7,54.0,123.0,49.61538461538461,37.88461538461539,5.961538461538462,96.34615384615384,0.38461538461538464,0.9615384615384616,5.0,80.38461538461539,14.23076923076923,5.384615384615385,1.9230769230769231,22.115384615384617,81.7,-6.3,2021
17,Yacine Adli,"MF,FW",Bordeaux,fr Ligue 1,22.5,1,29.0,1.9,1082.0,73.8,368.0,374.0,298.0,5.0,95.0,34.0,126.0,97.0,10.0,56.0,17.9,35.0,43.0,79.0,1362.0,48.0,37.0,71.0,52.1,140.0,46.0,14.0,16.0,19.0,45.7,967.0,37.0,166.0,84.0,38.0,711.0,122.0,249.0,9.0,30,35.0,266.0,34.011090573012936,34.56561922365989,27.54158964879852,89.37153419593345,3.4195933456561924,7.763401109057301,3.512014787430684,65.71164510166359,11.275415896487985,23.01293900184843,0.8317929759704251,15.341959334565619,79.6,-5.8,2021
18,Michel Aebischer,MF,Bologna,it Serie A,1.6,0,2.0,0.1,90.0,90.0,46.0,29.0,11.0,0.1,2.0,0.0,6.0,3.0,2.0,5.0,40.0,2.0,0.0,6.0,106.0,2.0,1.0,2.0,50.0,5.0,0.0,0.0,0.0,6.0,0.0,86.0,3.0,15.0,3.0,1.0,73.0,15.0,2.0,0.0,0,6.0,11.0,51.111111111111114,32.22222222222222,12.222222222222221,95.55555555555556,3.3333333333333335,3.3333333333333335,1.1111111111111112,81.11111111111111,16.666666666666668,2.2222222222222223,0.0,16.666666666666668,87.0,3.0,2021
19,Felix Afena-Gyan,FW,Roma,it Serie A,6.0,2,16.0,1.6,133.0,75.9,74.0,42.0,8.0,0.2,3.0,6.0,10.0,18.0,4.0,6.0,66.7,5.0,5.0,12.0,251.0,41.0,8.0,21.0,38.1,24.0,15.0,5.0,6.0,15.0,28.6,124.0,1.0,22.0,3.0,7.0,101.0,21.0,11.0,6.0,2,21.0,34.0,55.6390977443609,31.57894736842105,6.015037593984962,93.23308270676692,0.7518796992481203,2.255639097744361,5.2631578947368425,75.93984962406014,15.789473684210526,8.270676691729323,4.511278195488722,16.541353383458645,80.7,-4.8,2021
