,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
423,Hakan Calhanoglu,"MF,FW",Milan,it Serie A,30.0,9,102.0,7.3,78.2,6.9,106.0,49.0,133.0,,,,,,,,,,,,,,,,,,,132.0,34.0,33.0,28.0,71.0,1997.0,94.0,39.0,232.0,102.0,16.0,20.0,365.0,2021
424,Daniel Caligiuri,"MF,FW",Schalke 04,de Bundesliga,25.5,2,43.0,2.6,63.9,3.5,46.0,33.0,105.0,,,,,,,,,,,,,,,,,,,85.0,31.0,84.0,21.0,80.0,1422.0,61.0,45.0,117.0,41.0,17.0,46.0,222.0,2021
425,Jose Callejon,"FW,MF",Napoli,it Serie A,24.1,4,42.0,4.9,79.8,6.4,64.0,41.0,84.0,,,,,,,,,,,,,,,,,,,98.0,7.0,30.0,3.0,19.0,1429.0,88.0,10.0,86.0,23.0,7.0,10.0,170.0,2021
426,Jonathan Calleri,FW,Espanyol,es La Liga,20.1,1,46.0,3.6,54.5,2.3,20.0,10.0,23.0,,,,,,,,,,,,,,,,,,,39.0,9.0,14.0,7.0,23.0,623.0,95.0,15.0,33.0,10.0,9.0,112.0,56.0,2021
427,Dominic Calvert-Lewin,FW,Everton,eng Premier League,29.2,13,83.0,14.3,66.2,1.0,34.0,13.0,39.0,,,,,,,,,,,,,,,,,,,56.0,11.0,22.0,7.0,22.0,973.0,144.0,15.0,52.0,16.0,14.0,170.0,91.0,2021
428,Mahdi Camara,MF,Saint-Etienne,fr Ligue 1,10.0,0,7.0,0.3,83.8,0.1,21.0,2.0,23.0,,,,,,,,,,,,,,,,,,,9.0,24.0,24.0,13.0,53.0,584.0,10.0,10.0,58.0,15.0,0.0,17.0,81.0,2021
429,Souleymane Camara,"FW,MF",Montpellier,fr Ligue 1,1.8,0,3.0,0.4,76.7,0.5,3.0,2.0,6.0,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,0.0,1.0,62.0,5.0,2.0,4.0,1.0,1.0,10.0,10.0,2021
430,Victor Camarasa,MF,Crystal Palace,eng Premier League,0.1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2021
431,Victor Camarasa,MF,Alaves,es La Liga,14.4,0,8.0,0.3,80.7,1.6,36.0,12.0,36.0,,,,,,,,,,,,,,,,,,,24.0,14.0,16.0,10.0,27.0,662.0,11.0,16.0,43.0,11.0,1.0,12.0,79.0,2021
432,Eduardo Camavinga,MF,Rennes,fr Ligue 1,23.4,1,16.0,1.0,89.2,0.7,57.0,6.0,57.0,,,,,,,,,,,,,,,,,,,30.0,58.0,36.0,24.0,122.0,1298.0,11.0,14.0,96.0,39.0,3.0,34.0,153.0,2021
433,Sergio Camello,FW,Atletico Madrid,es La Liga,0.3,0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2021
