,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
0,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,27.9,3,26.0,1.6,78.8,3.2,86.0,25.0,129.0,,,,,,,,,,,,,,,,,,,62.0,32.0,57.0,23.0,74.0,1839.0,50.0,18.0,158.0,46.0,12.0,12.0,287.0,2021
1,Max Aarons,DF,Norwich City,eng Premier League,36.0,0,14.0,0.5,78.1,3.4,43.0,32.0,77.0,,,,,,,,,,,,,,,,,,,55.0,36.0,100.0,20.0,84.0,2133.0,52.0,49.0,204.0,56.0,23.0,23.0,281.0,2021
2,Yunis Abdelhamid,DF,Reims,fr Ligue 1,28.0,3,19.0,1.3,87.7,0.1,45.0,3.0,80.0,,,,,,,,,,,,,,,,,,,16.0,37.0,43.0,24.0,85.0,1856.0,27.0,21.0,57.0,9.0,0.0,86.0,137.0,2021
3,Suleiman Abdullahi,"FW,MF",Union Berlin,de Bundesliga,1.7,1,6.0,1.3,45.0,0.2,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,1.0,2.0,62.0,10.0,2.0,5.0,1.0,2.0,6.0,8.0,2021
4,Mehdi Abeid,MF,Nantes,fr Ligue 1,20.2,1,33.0,1.6,83.7,1.4,85.0,6.0,59.0,,,,,,,,,,,,,,,,,,,46.0,41.0,18.0,17.0,77.0,1176.0,20.0,12.0,71.0,21.0,2.0,14.0,130.0,2021
5,Charles Abi,FW,Saint-Etienne,fr Ligue 1,6.9,0,5.0,0.2,56.1,1.1,5.0,2.0,8.0,,,,,,,,,,,,,,,,,,,12.0,8.0,1.0,4.0,14.0,208.0,23.0,16.0,14.0,0.0,4.0,27.0,22.0,2021
6,David Abraham,DF,Eint Frankfurt,de Bundesliga,18.8,2,7.0,1.4,82.8,0.1,75.0,7.0,100.0,,,,,,,,,,,,,,,,,,,11.0,22.0,32.0,16.0,46.0,1073.0,11.0,9.0,73.0,21.0,1.0,51.0,173.0,2021
7,Tammy Abraham,FW,Chelsea,eng Premier League,24.6,15,88.0,14.1,69.9,2.5,16.0,5.0,31.0,,,,,,,,,,,,,,,,,,,50.0,10.0,23.0,5.0,19.0,739.0,165.0,21.0,51.0,12.0,14.0,67.0,82.0,2021
8,Amir Abrashi,MF,Freiburg,de Bundesliga,7.4,0,5.0,0.4,87.1,0.1,19.0,5.0,21.0,,,,,,,,,,,,,,,,,,,10.0,13.0,19.0,8.0,31.0,438.0,3.0,7.0,18.0,7.0,1.0,12.0,39.0,2021
9,Francesco Acerbi,DF,Lazio,it Serie A,35.1,2,17.0,2.0,90.0,1.6,138.0,14.0,119.0,,,,,,,,,,,,,,,,,,,27.0,33.0,61.0,28.0,80.0,2365.0,34.0,15.0,161.0,32.0,0.0,72.0,280.0,2021
10,Che Adams,FW,Southampton,eng Premier League,12.3,4,37.0,4.0,69.4,1.2,12.0,3.0,19.0,,,,,,,,,,,,,,,,,,,25.0,6.0,10.0,3.0,11.0,441.0,68.0,15.0,37.0,15.0,11.0,29.0,56.0,2021
11,Tyler Adams,"MF,DF",RB Leipzig,de Bundesliga,10.6,0,7.0,0.4,85.1,0.5,30.0,8.0,38.0,,,,,,,,,,,,,,,,,,,18.0,12.0,22.0,7.0,30.0,813.0,13.0,6.0,41.0,10.0,1.0,10.0,79.0,2021
12,Sargis Adamyan,"FW,MF",Hoffenheim,de Bundesliga,8.3,5,20.0,4.1,73.3,0.9,5.0,4.0,13.0,,,,,,,,,,,,,,,,,,,20.0,4.0,5.0,3.0,13.0,309.0,46.0,11.0,28.0,7.0,8.0,14.0,41.0,2021
13,Antonio Adan,GK,Atletico Madrid,es La Liga,0.3,0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
14,Bobby Adekanye,FW,Lazio,it Serie A,2.1,1,5.0,1.7,89.1,0.1,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,2.0,6.0,70.0,13.0,4.0,9.0,2.0,6.0,1.0,10.0,2021
15,Claud Adjapong,DF,Hellas Verona,it Serie A,2.6,0,3.0,0.6,76.3,0.0,6.0,0.0,5.0,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,3.0,8.0,112.0,7.0,1.0,6.0,1.0,1.0,4.0,11.0,2021
16,Amine Adli,"MF,FW",Toulouse,fr Ligue 1,0.5,0,0.0,0.0,77.8,0.1,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,1.0,1.0,33.0,1.0,3.0,6.0,0.0,0.0,1.0,10.0,2021
17,Yacine Adli,"MF,FW",Bordeaux,fr Ligue 1,11.3,3,18.0,0.9,79.2,2.0,50.0,8.0,55.0,,,,,,,,,,,,,,,,,,,38.0,18.0,11.0,9.0,36.0,735.0,13.0,24.0,91.0,34.0,3.0,9.0,146.0,2021
18,Adrian,GK,Liverpool,eng Premier League,9.7,0,0.0,0.0,72.3,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
19,Aritz Aduriz,FW,Athletic Club,es La Liga,2.3,1,6.0,0.6,57.9,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,0.0,1.0,82.0,11.0,2.0,1.0,1.0,0.0,20.0,4.0,2021
20,Lumor Agbenyenu,DF,Mallorca,es La Liga,20.1,1,14.0,0.3,73.2,1.9,47.0,21.0,70.0,,,,,,,,,,,,,,,,,,,33.0,23.0,37.0,11.0,46.0,1182.0,14.0,26.0,101.0,34.0,5.0,14.0,171.0,2021
21,Martin Agirregabiria,DF,Alaves,es La Liga,23.3,1,3.0,0.9,71.2,1.0,36.0,14.0,60.0,,,,,,,,,,,,,,,,,,,23.0,22.0,39.0,9.0,59.0,1231.0,9.0,14.0,63.0,17.0,2.0,23.0,123.0,2021
22,Lucien Agoume,MF,Inter,it Serie A,0.8,0,0.0,0.0,92.3,0.1,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,1.0,5.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2021
23,Kevin Agudelo,"MF,FW",Fiorentina,it Serie A,0.7,0,4.0,0.3,80.6,0.2,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,0.0,3.0,47.0,2.0,2.0,7.0,1.0,1.0,0.0,10.0,2021
24,Kevin Agudelo,"MF,FW",Genoa,it Serie A,7.4,1,10.0,1.1,81.4,1.2,20.0,5.0,17.0,,,,,,,,,,,,,,,,,,,31.0,18.0,12.0,6.0,31.0,402.0,20.0,21.0,61.0,18.0,7.0,4.0,78.0,2021
25,Nayef Aguerd,DF,Dijon,fr Ligue 1,10.6,1,5.0,0.7,85.1,0.0,21.0,0.0,21.0,,,,,,,,,,,,,,,,,,,3.0,11.0,21.0,10.0,24.0,717.0,7.0,1.0,11.0,1.0,0.0,41.0,32.0,2021
26,Sergio Aguero,FW,Manchester City,eng Premier League,16.1,16,73.0,11.8,77.4,2.4,12.0,20.0,32.0,,,,,,,,,,,,,,,,,,,51.0,5.0,15.0,2.0,9.0,572.0,154.0,27.0,65.0,20.0,16.0,2.0,97.0,2021
27,Ruben Aguilar,DF,Monaco,fr Ligue 1,11.9,0,7.0,0.1,84.2,1.5,39.0,25.0,51.0,,,,,,,,,,,,,,,,,,,24.0,28.0,11.0,11.0,50.0,926.0,22.0,15.0,84.0,21.0,3.0,16.0,135.0,2021
28,Emmanuel Agyemang-Badu,"MF,FW",Hellas Verona,it Serie A,2.6,0,0.0,0.0,87.5,0.0,4.0,1.0,6.0,,,,,,,,,,,,,,,,,,,3.0,1.0,4.0,1.0,3.0,129.0,1.0,0.0,11.0,4.0,0.0,5.0,17.0,2021
29,Jean-Eudes Aholou,MF,Saint-Etienne,fr Ligue 1,7.0,1,10.0,0.8,83.7,0.1,17.0,0.0,19.0,,,,,,,,,,,,,,,,,,,12.0,19.0,8.0,12.0,33.0,409.0,12.0,10.0,33.0,7.0,0.0,12.0,52.0,2021
30,Joseph Aidoo,DF,Celta Vigo,es La Liga,27.8,0,10.0,0.8,87.7,0.8,61.0,2.0,62.0,,,,,,,,,,,,,,,,,,,13.0,26.0,42.0,33.0,73.0,1518.0,11.0,11.0,58.0,10.0,0.0,59.0,120.0,2021
31,Ola Aina,DF,Torino,it Serie A,23.1,0,12.0,0.4,74.4,2.2,56.0,21.0,84.0,,,,,,,,,,,,,,,,,,,46.0,28.0,70.0,26.0,75.0,1476.0,33.0,56.0,150.0,48.0,6.0,26.0,234.0,2021
32,Youssef Ait Bennasser,MF,Bordeaux,fr Ligue 1,6.0,0,2.0,0.0,86.4,0.1,28.0,3.0,38.0,,,,,,,,,,,,,,,,,,,8.0,7.0,12.0,5.0,16.0,473.0,1.0,6.0,28.0,6.0,0.0,8.0,66.0,2021
33,Rayan Ait Nouri,DF,Angers,fr Ligue 1,14.2,0,4.0,0.2,78.0,0.8,35.0,18.0,49.0,,,,,,,,,,,,,,,,,,,21.0,18.0,32.0,13.0,45.0,996.0,16.0,19.0,89.0,31.0,4.0,19.0,138.0,2021
34,Albian Ajeti,"MF,FW",West Ham,eng Premier League,1.5,0,3.0,0.1,83.3,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,1.0,2.0,33.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2021
35,Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,22.9,8,44.0,5.4,72.9,3.0,14.0,12.0,27.0,,,,,,,,,,,,,,,,,,,36.0,14.0,11.0,3.0,21.0,755.0,110.0,14.0,37.0,7.0,10.0,112.0,64.0,2021
36,Manuel Akanji,DF,Dortmund,de Bundesliga,25.7,0,10.0,0.8,91.6,0.8,103.0,2.0,85.0,,,,,,,,,,,,,,,,,,,10.0,23.0,35.0,18.0,62.0,2161.0,15.0,8.0,110.0,15.0,0.0,41.0,195.0,2021
37,Marley Ake,"FW,MF",Marseille,fr Ligue 1,1.1,0,3.0,0.2,86.2,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,4.0,2.0,0.0,2.0,6.0,43.0,2.0,3.0,6.0,0.0,0.0,0.0,8.0,2021
38,Nathan Ake,DF,Bournemouth,eng Premier League,27.8,2,24.0,2.4,88.1,0.6,66.0,10.0,57.0,,,,,,,,,,,,,,,,,,,13.0,11.0,59.0,27.0,52.0,1508.0,34.0,5.0,47.0,8.0,0.0,64.0,104.0,2021
39,Chadrac Akolo,"FW,MF",Amiens,fr Ligue 1,6.0,2,9.0,1.0,83.5,1.2,15.0,2.0,26.0,,,,,,,,,,,,,,,,,,,17.0,13.0,8.0,5.0,22.0,281.0,15.0,11.0,36.0,12.0,6.0,4.0,62.0,2021
40,Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,12.7,0,2.0,0.1,87.4,0.0,25.0,1.0,26.0,,,,,,,,,,,,,,,,,,,4.0,11.0,31.0,11.0,38.0,908.0,1.0,3.0,36.0,10.0,0.0,21.0,62.0,2021
41,David Alaba,DF,Bayern Munich,de Bundesliga,27.8,1,18.0,0.7,90.8,2.1,294.0,24.0,222.0,,,,,,,,,,,,,,,,,,,38.0,17.0,40.0,11.0,38.0,2662.0,14.0,6.0,229.0,37.0,2.0,22.0,451.0,2021
42,Sofiane Alakouch,DF,Nimes,fr Ligue 1,15.6,0,10.0,0.6,82.0,1.1,48.0,13.0,64.0,,,,,,,,,,,,,,,,,,,25.0,30.0,23.0,18.0,67.0,992.0,25.0,20.0,56.0,19.0,7.0,8.0,120.0,2021
43,Lucas Alario,FW,Leverkusen,de Bundesliga,13.0,7,47.0,6.3,73.7,2.1,6.0,9.0,13.0,,,,,,,,,,,,,,,,,,,29.0,2.0,9.0,2.0,9.0,466.0,89.0,16.0,17.0,5.0,7.0,34.0,30.0,2021
44,Jordi Alba,DF,Barcelona,es La Liga,24.3,2,7.0,1.1,87.1,3.3,126.0,38.0,141.0,,,,,,,,,,,,,,,,,,,45.0,14.0,40.0,25.0,50.0,2322.0,65.0,10.0,143.0,27.0,10.0,10.0,284.0,2021
45,Luis Alberto,MF,Lazio,it Serie A,34.6,6,99.0,6.4,79.2,10.7,255.0,97.0,321.0,,,,,,,,,,,,,,,,,,,205.0,34.0,43.0,16.0,68.0,2663.0,109.0,72.0,433.0,198.0,31.0,8.0,754.0,2021
46,Raul Albiol,DF,Villarreal,es La Liga,36.0,1,14.0,1.4,86.0,0.4,96.0,5.0,78.0,,,,,,,,,,,,,,,,,,,16.0,33.0,40.0,17.0,67.0,2261.0,21.0,3.0,71.0,5.0,1.0,78.0,149.0,2021
47,Marc Albrighton,"MF,DF",Leicester City,eng Premier League,9.6,0,10.0,0.6,67.9,2.0,31.0,20.0,50.0,,,,,,,,,,,,,,,,,,,26.0,11.0,18.0,9.0,32.0,622.0,23.0,10.0,50.0,13.0,5.0,2.0,100.0,2021
48,Paco Alcacer,FW,Villarreal,es La Liga,10.3,4,25.0,3.2,78.7,1.6,6.0,6.0,9.0,,,,,,,,,,,,,,,,,,,16.0,2.0,10.0,2.0,6.0,316.0,46.0,4.0,19.0,5.0,7.0,8.0,28.0,2021
49,Paco Alcacer,FW,Dortmund,de Bundesliga,5.9,5,15.0,3.8,75.0,1.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,14.0,2.0,3.0,2.0,4.0,167.0,31.0,4.0,3.0,3.0,1.0,4.0,10.0,2021
50,Thiago Alcantara,MF,Bayern Munich,de Bundesliga,19.7,3,19.0,2.5,89.6,1.0,185.0,18.0,197.0,,,,,,,,,,,,,,,,,,,57.0,38.0,21.0,23.0,77.0,2018.0,26.0,59.0,130.0,33.0,7.0,29.0,327.0,2021
51,Ruben Alcaraz,MF,Valladolid,es La Liga,21.4,2,33.0,1.6,78.5,0.8,95.0,4.0,72.0,,,,,,,,,,,,,,,,,,,44.0,36.0,57.0,16.0,75.0,1330.0,15.0,21.0,84.0,22.0,2.0,43.0,156.0,2021
52,Toby Alderweireld,DF,Tottenham,eng Premier League,32.9,2,16.0,1.1,82.7,1.1,130.0,16.0,87.0,,,,,,,,,,,,,,,,,,,20.0,24.0,69.0,11.0,55.0,2265.0,22.0,0.0,80.0,20.0,0.0,76.0,167.0,2021
53,Haitam Aleesami,DF,Amiens,fr Ligue 1,21.3,1,2.0,0.2,77.8,1.3,67.0,12.0,98.0,,,,,,,,,,,,,,,,,,,27.0,28.0,55.0,26.0,70.0,1436.0,20.0,19.0,76.0,21.0,4.0,38.0,174.0,2021
54,Alex Alegria,"FW,MF",Mallorca,es La Liga,1.2,0,0.0,0.0,65.7,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,2.0,49.0,4.0,1.0,0.0,0.0,0.0,11.0,0.0,2021
55,Carles Alena,MF,Barcelona,es La Liga,1.9,0,1.0,0.0,91.7,0.0,18.0,1.0,13.0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,2.0,170.0,2.0,2.0,10.0,7.0,0.0,2.0,23.0,2021
56,Carles Alena,"MF,FW",Betis,es La Liga,8.2,1,12.0,1.1,85.6,0.2,44.0,4.0,32.0,,,,,,,,,,,,,,,,,,,13.0,11.0,9.0,1.0,21.0,471.0,11.0,15.0,49.0,9.0,1.0,4.0,81.0,2021
57,Runar Alex Runarsson,GK,Dijon,fr Ligue 1,10.0,0,0.0,0.0,72.5,0.1,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,351.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2021
58,Trent Alexander-Arnold,DF,Liverpool,eng Premier League,35.3,4,44.0,2.8,71.6,9.9,200.0,90.0,274.0,,,,,,,,,,,,,,,,,,,151.0,25.0,53.0,34.0,92.0,3520.0,63.0,26.0,245.0,92.0,12.0,14.0,519.0,2021
59,Enrico Alfonso,GK,Brescia,it Serie A,3.1,0,0.0,0.0,70.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
60,Rachid Alioui,FW,Angers,fr Ligue 1,17.4,6,58.0,5.3,73.2,1.4,22.0,9.0,24.0,,,,,,,,,,,,,,,,,,,39.0,11.0,4.0,4.0,17.0,656.0,79.0,23.0,60.0,12.0,15.0,43.0,84.0,2021
61,Alisson,GK,Liverpool,eng Premier League,28.3,0,0.0,0.0,85.8,0.5,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,1.0,1.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2021
62,Allan,MF,Napoli,it Serie A,14.2,2,12.0,0.7,86.6,1.1,76.0,9.0,58.0,,,,,,,,,,,,,,,,,,,41.0,36.0,26.0,5.0,60.0,994.0,17.0,18.0,80.0,25.0,3.0,10.0,138.0,2021
63,Dele Alli,"MF,FW",Tottenham,eng Premier League,20.5,8,39.0,6.3,77.1,2.0,41.0,24.0,65.0,,,,,,,,,,,,,,,,,,,54.0,29.0,53.0,7.0,48.0,1132.0,96.0,32.0,104.0,43.0,16.0,17.0,169.0,2021
64,Miguel Almiron,"MF,FW",Newcastle Utd,eng Premier League,33.6,4,55.0,6.3,76.3,1.6,40.0,24.0,66.0,,,,,,,,,,,,,,,,,,,80.0,36.0,44.0,20.0,82.0,1309.0,91.0,46.0,161.0,59.0,18.0,9.0,227.0,2021
65,Marcos Alonso,DF,Chelsea,eng Premier League,15.9,4,30.0,2.0,82.7,2.2,35.0,29.0,70.0,,,,,,,,,,,,,,,,,,,47.0,19.0,30.0,14.0,41.0,1313.0,72.0,12.0,138.0,37.0,9.0,42.0,208.0,2021
66,Mickael Alphonse,DF,Dijon,fr Ligue 1,15.3,0,8.0,0.2,69.8,0.3,31.0,12.0,53.0,,,,,,,,,,,,,,,,,,,17.0,19.0,38.0,13.0,56.0,945.0,11.0,18.0,64.0,25.0,3.0,35.0,117.0,2021
67,Sergio Alvarez,GK,Celta Vigo,es La Liga,2.0,0,0.0,0.0,73.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
68,Sergio Alvarez,"MF,DF",Eibar,es La Liga,12.7,0,4.0,0.2,75.4,0.2,45.0,2.0,32.0,,,,,,,,,,,,,,,,,,,12.0,20.0,25.0,9.0,46.0,569.0,7.0,6.0,18.0,9.0,0.0,24.0,50.0,2021
69,Yeray Alvarez,DF,Athletic Club,es La Liga,31.2,0,12.0,1.2,81.9,0.5,72.0,8.0,84.0,,,,,,,,,,,,,,,,,,,19.0,25.0,58.0,34.0,73.0,1817.0,20.0,11.0,81.0,19.0,0.0,88.0,165.0,2021
70,Bruno Alves,DF,Parma,it Serie A,29.7,0,23.0,1.0,83.5,0.5,73.0,5.0,76.0,,,,,,,,,,,,,,,,,,,15.0,11.0,40.0,15.0,38.0,1608.0,36.0,2.0,44.0,2.0,0.0,88.0,120.0,2021
71,Steven Alzate,"MF,DF",Brighton,eng Premier League,13.2,0,13.0,1.2,84.9,0.7,32.0,16.0,56.0,,,,,,,,,,,,,,,,,,,30.0,23.0,26.0,10.0,38.0,838.0,44.0,33.0,100.0,27.0,10.0,14.0,156.0,2021
72,Ibrahim Amadou,"DF,MF",Norwich City,eng Premier League,8.4,0,6.0,1.0,85.9,0.0,14.0,1.0,11.0,,,,,,,,,,,,,,,,,,,1.0,7.0,8.0,11.0,32.0,470.0,4.0,2.0,5.0,1.0,0.0,15.0,16.0,2021
73,Ibrahim Amadou,MF,Leganes,es La Liga,8.6,0,4.0,0.4,79.1,0.0,17.0,1.0,14.0,,,,,,,,,,,,,,,,,,,2.0,9.0,7.0,5.0,21.0,343.0,6.0,3.0,22.0,8.0,1.0,20.0,36.0,2021
74,Romain Amalfitano,MF,Dijon,fr Ligue 1,18.8,1,11.0,0.3,78.5,0.9,81.0,13.0,91.0,,,,,,,,,,,,,,,,,,,27.0,22.0,25.0,17.0,60.0,1092.0,8.0,28.0,106.0,28.0,3.0,11.0,197.0,2021
75,Amath,MF,Getafe,es La Liga,0.7,0,0.0,0.0,70.6,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,3.0,36.0,4.0,4.0,6.0,0.0,1.0,1.0,7.0,2021
76,Jordan Amavi,DF,Marseille,fr Ligue 1,24.0,1,15.0,0.6,80.4,1.3,46.0,15.0,74.0,,,,,,,,,,,,,,,,,,,27.0,28.0,53.0,30.0,92.0,1590.0,31.0,28.0,101.0,46.0,6.0,72.0,175.0,2021
77,Thierry Ambrose,FW,Metz,fr Ligue 1,6.1,0,23.0,1.3,72.5,0.5,20.0,7.0,17.0,,,,,,,,,,,,,,,,,,,23.0,5.0,5.0,4.0,11.0,312.0,34.0,24.0,59.0,17.0,5.0,21.0,76.0,2021
78,Kelvin Amian,DF,Toulouse,fr Ligue 1,18.1,0,8.0,0.7,82.4,0.4,36.0,8.0,56.0,,,,,,,,,,,,,,,,,,,11.0,15.0,25.0,12.0,39.0,837.0,12.0,8.0,62.0,27.0,3.0,20.0,118.0,2021
79,Nadiem Amiri,"MF,DF",Leverkusen,de Bundesliga,20.6,1,43.0,2.5,78.9,5.9,73.0,23.0,96.0,,,,,,,,,,,,,,,,,,,89.0,13.0,28.0,14.0,32.0,1374.0,57.0,32.0,134.0,45.0,10.0,7.0,230.0,2021
80,Ethan Ampadu,DF,RB Leipzig,de Bundesliga,0.9,0,1.0,0.2,94.9,0.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,0.0,5.0,93.0,1.0,0.0,8.0,1.0,0.0,3.0,9.0,2021
81,Opoku Ampomah,"FW,MF",Dusseldorf,de Bundesliga,5.6,0,16.0,0.9,60.6,0.3,6.0,3.0,12.0,,,,,,,,,,,,,,,,,,,17.0,6.0,4.0,3.0,13.0,205.0,26.0,18.0,28.0,10.0,9.0,4.0,40.0,2021
82,Sofyan Amrabat,MF,Hellas Verona,it Serie A,32.4,1,17.0,1.1,87.7,1.6,151.0,33.0,141.0,,,,,,,,,,,,,,,,,,,75.0,42.0,43.0,27.0,90.0,2089.0,25.0,84.0,219.0,75.0,5.0,24.0,360.0,2021
83,Joachim Andersen,DF,Lyon,fr Ligue 1,17.0,1,10.0,0.9,91.1,0.2,57.0,3.0,65.0,,,,,,,,,,,,,,,,,,,12.0,10.0,22.0,8.0,26.0,1476.0,13.0,2.0,47.0,8.0,0.0,56.0,112.0,2021
84,Djavan Anderson,"DF,MF",Lazio,it Serie A,1.9,0,1.0,0.1,85.3,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,2.0,1.0,5.0,1.0,2.0,92.0,4.0,2.0,5.0,2.0,2.0,1.0,5.0,2021
85,Felipe Anderson,"MF,FW",West Ham,eng Premier League,16.6,1,23.0,2.5,77.6,3.1,49.0,33.0,85.0,,,,,,,,,,,,,,,,,,,58.0,30.0,21.0,14.0,59.0,1163.0,66.0,66.0,154.0,65.0,22.0,4.0,239.0,2021
86,Sebastian Andersson,FW,Union Berlin,de Bundesliga,29.8,12,61.0,10.7,62.3,1.5,46.0,13.0,47.0,,,,,,,,,,,,,,,,,,,46.0,11.0,31.0,6.0,24.0,1211.0,135.0,25.0,54.0,15.0,5.0,229.0,101.0,2021
87,Florin Andone,"MF,FW",Brighton,eng Premier League,0.8,1,1.0,0.1,66.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,2.0,29.0,7.0,2.0,2.0,0.0,0.0,2.0,2.0,2021
88,Benjamin Andre,MF,Lille,fr Ligue 1,22.8,2,16.0,1.0,79.2,1.1,98.0,8.0,81.0,,,,,,,,,,,,,,,,,,,43.0,63.0,45.0,45.0,128.0,1515.0,23.0,23.0,88.0,22.0,2.0,70.0,169.0,2021
89,Lorenzo Andrenacci,GK,Brescia,it Serie A,5.9,0,0.0,0.0,78.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
90,Robert Andrich,MF,Union Berlin,de Bundesliga,28.6,1,50.0,1.9,71.2,2.1,97.0,32.0,136.0,,,,,,,,,,,,,,,,,,,78.0,46.0,39.0,37.0,115.0,1547.0,33.0,27.0,86.0,28.0,8.0,51.0,222.0,2021
91,Victorien Angban,MF,Metz,fr Ligue 1,11.4,0,4.0,0.1,88.1,0.0,43.0,2.0,43.0,,,,,,,,,,,,,,,,,,,11.0,16.0,15.0,9.0,34.0,719.0,3.0,18.0,74.0,19.0,1.0,5.0,117.0,2021
92,Miguel Angel Guerrero,FW,Leganes,es La Liga,8.8,1,13.0,1.7,74.1,0.6,9.0,3.0,14.0,,,,,,,,,,,,,,,,,,,18.0,1.0,5.0,1.0,2.0,276.0,24.0,11.0,10.0,5.0,1.0,21.0,24.0,2021
93,Miguel Angel Moya,GK,Real Sociedad,es La Liga,13.0,0,0.0,0.0,79.3,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,490.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2021
94,Jose Angel,DF,Eibar,es La Liga,26.2,1,24.0,0.6,67.1,2.4,105.0,40.0,126.0,,,,,,,,,,,,,,,,,,,51.0,31.0,40.0,27.0,89.0,1754.0,11.0,20.0,120.0,58.0,2.0,47.0,246.0,2021
95,Angelino,DF,RB Leipzig,de Bundesliga,12.2,1,5.0,0.7,75.6,2.3,50.0,23.0,66.0,,,,,,,,,,,,,,,,,,,39.0,8.0,35.0,10.0,24.0,891.0,26.0,21.0,80.0,27.0,8.0,10.0,146.0,2021
96,Angelino,DF,Manchester City,eng Premier League,4.7,0,5.0,0.2,78.6,1.2,33.0,14.0,39.0,,,,,,,,,,,,,,,,,,,14.0,5.0,4.0,5.0,13.0,477.0,10.0,5.0,54.0,22.0,0.0,8.0,93.0,2021
97,Faustino Anjorin,FW,Chelsea,eng Premier League,0.2,0,1.0,0.0,100.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,12.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2021
98,Peter Ankersen,DF,Genoa,it Serie A,11.8,0,14.0,0.8,82.5,0.7,18.0,12.0,36.0,,,,,,,,,,,,,,,,,,,21.0,5.0,29.0,9.0,19.0,726.0,25.0,12.0,47.0,14.0,4.0,9.0,83.0,2021
99,Cristian Ansaldi,"DF,MF",Torino,it Serie A,19.6,4,28.0,1.4,70.5,3.0,47.0,47.0,63.0,,,,,,,,,,,,,,,,,,,58.0,27.0,28.0,12.0,56.0,1085.0,50.0,53.0,142.0,40.0,12.0,14.0,205.0,2021
